Titulo,Fecha,Link
"Alianza Lima: Sandro Baylón, un íntimo de corazón | VIDEO",01/01/2019 _ 14:10,https://elcomercio.pe/deporte-total/futbol-peruano/alianza-lima-sandro-baylon-intimo-corazon-video-noticia-593133-noticia/
El llanto de Bolsonaro antes de su investidura como presidente de Brasil | FOTOS,01/01/2019 _ 14:07,https://elcomercio.pe/mundo/actualidad/jair-bolsonaro-rolls-royce-descapotable-llego-congreso-jurar-presidente-brasil-fotos-noticia-593119-noticia/
‘Retail’ en marcha: Un sector que ganará altura este año,01/01/2019 _ 14:00,https://elcomercio.pe/economia/dia-1/retail-marcha-sector-ganara-altura-2019-noticia-592903-noticia/
"""A Star Is Born"": lo que trae la edición especial de la nominada a los Globos de Oro",01/01/2019 _ 14:00,https://elcomercio.pe/luces/cine/star-is-born-esto-tendra-edicion-especial-pelicula-noticia-590136-noticia/
Editorial: Control de daños,02/01/2019 _ 23:35,https://elcomercio.pe/opinion/editorial/pedro-chavarry-domingo-perez-editorial-control-danos-noticia-593242-noticia/
"¿El CBD ayuda o solo está de moda?, por Richard A. Friedman",02/01/2019 _ 23:30,https://elcomercio.pe/opinion/colaboradores/cbd-ayuda-moda-richard-friedman-noticia-593235-noticia/
Este es el país donde se hablan más lenguas en el mundo,02/01/2019 _ 23:30,https://elcomercio.pe/mundo/actualidad/pais-hablan-lenguas-mundo-noticia-593633-noticia/
"La verdadera amenaza, por Daniela Meneses",02/01/2019 _ 23:30,https://elcomercio.pe/opinion/columnistas/pedro-chavarry-amenaza-daniela-meneses-noticia-593231-noticia/
"Trump contra el sector servicios, por Anne O. Krueger",02/01/2019 _ 23:30,https://elcomercio.pe/opinion/colaboradores/trump-sector-servicios-anne-krueger-noticia-593224-noticia/
"Pronóstico reservado, por Enzo Defilippi",02/01/2019 _ 23:30,https://elcomercio.pe/opinion/mirada-de-fondo/pronostico-reservado-enzo-defilippi-noticia-593237-noticia/
"El gran enjuague, por Fernando Vivas",02/01/2019 _ 23:30,https://elcomercio.pe/opinion/rincon-del-autor/pedro-chavarry-jose-domingo-perez-gran-enjuague-fernando-vivas-noticia-593239-noticia/
1919: Plaza San Martín,02/01/2019 _ 23:25,https://elcomercio.pe/opinion/efemerides/1919-plaza-san-martin-noticia-593243-noticia/
Martha Hildebrandt: el significado de “Palomear”,02/01/2019 _ 23:25,https://elcomercio.pe/opinion/habla-culta/martha-hildebrandt-significado-palomear-noticia-593247-noticia/
Lesbianas japonesas se casarán en 26 países porque no pueden hacerlo en su país,02/01/2019 _ 23:08,https://elcomercio.pe/mundo/actualidad/lesbianas-japon-casaran-26-paises-hacerlo-pais-noticia-593594-noticia/
Argentina: Ex presidente Fernando De la Rúa fue internado en estado grave,02/01/2019 _ 22:29,https://elcomercio.pe/mundo/latinoamerica/argentina-internan-ex-presidente-fernando-rua-grave-noticia-593618-noticia/
San Martín: temperatura más altaen primer día del año seregistró enTingo de Ponasa,02/01/2019 _ 22:19,https://elcomercio.pe/peru/san-martin/san-martin-temperatura-alta-primer-dia-ano-registro-tingo-ponasa-noticia-nndc-593614-noticia/
Pablo Sánchez afirma que proyecto del Ejecutivo tiene “inconsistencias”,02/01/2019 _ 22:15,https://elcomercio.pe/politica/pablo-sanchez-afirma-proyecto-ejecutivo-inconsistencias-noticia-593613-noticia/
Municipalidad de Lima: los últimos alcaldes de Lima antes de Jorge Muñoz | FOTOS,02/01/2019 _ 22:12,https://elcomercio.pe/lima/personajes/municipalidad-lima-alcaldes-precedieron-jorge-munoz-fotos-noticia-593524-noticia/
YouTube | 'Sirenoman' reemplazó a 'Aquaman' en un video que se ha vuelto viral,02/01/2019 _ 22:12,https://elcomercio.pe/redes-sociales/youtube/youtube-video-viral-sirenoman-aquaman-trailer-meme-parodia-yt-fotos-nnda-nnrt-noticia-593615-noticia/
China apunto de lograr histórico alunizaje en la cara oculta de la Luna,02/01/2019 _ 22:05,https://elcomercio.pe/tecnologia/ciencias/china-lograria-manana-historico-alunizaje-cara-oculta-luna-noticia-593385-noticia/
"Perro policía localiza 63,9 kilos de marihuana en aeropuerto deGuatemala",02/01/2019 _ 22:01,https://elcomercio.pe/mundo/latinoamerica/guatemala-perro-policia-localiza-63-9-kilos-marihuana-aeropuerto-noticia-593611-noticia/
"Pérez: Chávarry ""deshonra"" con sus actos y ""presencia"" al Ministerio Público",02/01/2019 _ 22:00,https://elcomercio.pe/politica/jose-domingo-perez-pedro-chavarry-deshonra-actos-presencia-ministerio-publico-noticia-nndc-593608-noticia/
¿Jefferson Farfán e Ivanna Yturbe celebraron Año Nuevo juntos? | VIDEO,02/01/2019 _ 22:00,https://elcomercio.pe/tvmas/farandula/jefferson-farfan-e-ivanna-yturbe-celebraron-ano-nuevo-video-noticia-nndc-593516-noticia/
